What is the primary architectural style of a microservices application?,"It arranges an application as a collection of loosely coupled, fine-grained services."
"In Kubernetes, what is a 'context'?","A group of access parameters (cluster, user, namespace) that lets you connect to a specific Kubernetes cluster."
What `kubectl` command is used to view the currently active context?,kubectl config current-context
What is the 'declarative' way of creating resources in Kubernetes?,Defining the desired state of resources in YAML files and applying them to the cluster using `kubectl apply` or `kubectl create`.
What is a Kubernetes namespace used for?,"To group resources within a cluster, often to create logical environments like dev, test, and prod."
What is the key-value data store used by Kubernetes to store the entire state of the cluster?,etcd.
Which component of the Kubernetes control plane is responsible for watching for newly created pods and assigning them to a node?,The kube-scheduler.
What is the name of the agent that runs on each worker node and is responsible for managing the pod lifecycle?,The kubelet.
What is the smallest and simplest unit of deployment in Kubernetes?,A pod.
A pod is in the _____ state when it has been accepted by the cluster but one or more of its container images have not yet been created.,Pending
What does the 'CrashLoopBackOff' pod state indicate?,"It indicates that a pod started, crashed, was restarted by Kubernetes, and crashed again repeatedly."
"What `kubectl` command provides detailed information about a resource, including its configuration, status, and recent events?",kubectl describe
What is an 'init container' in a Kubernetes pod?,"A container that runs to completion before the main application containers in a pod are started, used for setup tasks."
"In Kubernetes, _____ are key-value pairs used to identify, describe, and group related sets of objects.",labels
How do services and other Kubernetes objects find the specific pods they need to interact with?,By using selectors to filter objects based on their labels.
What is the 'sidecar' pattern in a multi-container pod?,A pattern where a helper container provides extra functionality (like logging or monitoring) to the main application container.
"The _____ is an application running on Kubernetes, which is composed of one or more pods.",workload
What is the primary job of a Kubernetes ReplicaSet?,"To manage pod replicas, ensuring that a specified number of instances are always running (providing self-healing)."
"While a ReplicaSet provides self-healing, the _____ workload provides declarative updates and rollbacks for pods.",Deployment
"In a Deployment manifest, what is the default update strategy if one is not specified?",RollingUpdate.
What is the purpose of a Kubernetes DaemonSet?,To ensure that an instance of a specific pod is running on all (or a subset of) nodes in the cluster.
"Which Kubernetes workload is designed for applications that require stable, unique network identifiers and persistent storage, such as databases?",A StatefulSet.
What kind of service is required by a StatefulSet to provide a stable network endpoint?,"A headless service, created by setting `clusterIP` to `None`."
"Which Kubernetes workload is used for short-lived, task-based workloads that run to completion and then terminate?",A Job.
"What Kubernetes object runs Jobs on a repeating schedule, similar to a traditional cron job?",A CronJob.
"In a blue-green deployment pattern, how is traffic switched from the 'blue' (old) version to the 'green' (new) version?",By updating the service's selector to point to the labels of the new version's pods.
What problem do Kubernetes Services solve?,"They provide a stable, durable IP address and DNS name to access a set of pods, whose own IP addresses are ephemeral."
"What is the default service type in Kubernetes, which is only accessible from within the cluster?",ClusterIP.
Which service type exposes an application on a static port on each of the cluster's nodes?,NodePort.
Which service type provisions an external load balancer from a cloud provider to expose an application to the internet?,LoadBalancer.
"In Kubernetes, a _____ represents a piece of pre-provisioned storage in the cluster, managed by an administrator.",PersistentVolume (PV)
How does a pod request storage in Kubernetes?,"By creating a PersistentVolumeClaim (PVC), which is a request for storage that gets bound to an available PersistentVolume."
What is the purpose of a StorageClass in Kubernetes?,"It allows for the dynamic provisioning of storage, eliminating the need for an administrator to pre-create PersistentVolumes."
"What Kubernetes object is used to decouple and externalize configuration values as key-value pairs, which can be injected as environment variables?",A ConfigMap.
"The Kubernetes _____ object is similar to a ConfigMap but is intended for sensitive data, which it stores as base64-encoded strings.",Secret
Which type of probe in Kubernetes tells the kubelet whether an application inside a container is ready to accept traffic?,A Readiness probe.
What happens if a Liveness probe fails in Kubernetes?,"Kubernetes will kill the pod and replace it with a new one, assuming the application is in an unrecoverable state."
What is the role of the Horizontal Pod Autoscaler (HPA) in Kubernetes?,It automatically scales the number of pods in a workload up or down based on observed metrics like CPU utilization.
What component must be installed in a Kubernetes cluster for the Horizontal Pod Autoscaler to function?,The Metric Server.
