Who is the chief architect of Windows NT and also wrote the DEC VAX/VMS operating system?,Dave Cutler.
"In shell globbing, what does the asterisk (`*`) character match?","It matches any number of any characters, including zero characters."
What command is used to search for lines containing a specific pattern within files or data streams?,The `grep` command.
What is the function of the `find` command?,"It searches for files in a directory hierarchy based on complex criteria such as name, size, modification time, and type."
What are the three distinct parts of the complete process that takes a Linux host from an off state to a running state?,"Hardware boot, Linux boot, and Linux startup."
"What is the name of the bootloader used by most modern Linux distributions, which loads the kernel into memory?",GRUB (GRand Unified Bootloader).
"After GRUB loads the kernel, what modern init system is responsible for the Linux startup process, starting services and reaching a target state?",systemd.
"In a legacy BIOS system, the first 512-byte sector on a hard drive is called the _____, which contains the initial bootstrap code.",Master Boot Record (MBR)
"The sole purpose of GRUB stage 1 is to load _____, which contains filesystem drivers.",GRUB stage 1.5
Where are the Linux kernel files (vmlinuz) and the GRUB configuration file (grub.cfg) typically located?,In the `/boot` directory.
What command is used to regenerate the `grub.cfg` file after modifying the `/etc/default/grub` configuration file?,`grub2-mkconfig -o /boot/grub2/grub.cfg`.
"In `systemd`, what is the equivalent of the old SystemV runlevel 5 (graphical multiuser mode)?",The `graphical.target`.
Which command displays the kernel ring buffer messages from the most recent boot?,The `dmesg` command.
A _____ is a program that provides the graphical login screen for a Linux desktop.,display manager
What is the difference between a login shell and a non-login shell?,"A login shell is started after a user authenticates (e.g., on a virtual console), while a non-login shell is started without authentication (e.g., opening a new terminal window)."
Which configuration file is typically sourced for all interactive non-login bash shells?,`~/.bashrc`.
"In a shell, what is an 'alias' used for?","It is a method for substituting a long command or a command with common options with a shorter, easier-to-type name."
What are the two primary metadata structures that a file consists of in a Linux filesystem?,The directory entry and the inode.
What information is stored in a file's inode?,"The inode contains metadata such as user/group ownership, permissions, timestamps, file type, and pointers to the file's data blocks."
What is the difference between a hard link and a symbolic (soft) link?,"A hard link is a directory entry that points directly to an inode, while a symbolic link is a separate file that contains the path to another file."
Can a hard link point to a file on a different filesystem?,"No, hard links cannot cross filesystem boundaries because inode numbers are only unique within a single filesystem."
Which command is used to create symbolic links?,The `ln -s` command.
"In the Filesystem Hierarchy Standard (FHS), where are system configuration files typically stored?",In the `/etc` directory.
What is the purpose of the `/home` directory in the FHS?,"It serves as the storage location for user files, with each user having their own subdirectory."
"The current default filesystem for new Fedora installations is BtrFS, but the more widely used filesystem discussed in the text is _____.",EXT4
What is the purpose of a journaling filesystem like EXT4?,"It records changes that will be performed in a journal before committing them to the main filesystem, drastically reducing recovery time after a crash."
What command-line utility is used to create and manipulate partition tables on a storage device?,The `fdisk` command.
"After creating a new partition, what command is used to create a filesystem (e.g., EXT4) on it?","The `mkfs` command (e.g., `mkfs -t ext4 /dev/sdb1`)."
What command is used to check and repair a Linux filesystem?,The `fsck` command.
