"In Java, what is the default byte order for writing all values, ensuring platform independence?","All values are written in the big-endian fashion, regardless of the processor."
"When using `HttpClient.send()`, what is the role of the `HttpResponse.BodyHandler` argument?","It tells the client how to handle the response body, such as converting it to a string, a file, or discarding it."
"In Java's simple HTTP server API, what class encapsulates all information about an incoming request and the response to be generated?",The `com.sun.net.httpserver.HttpExchange` class.
What is the typical three-tier model in a database application?,"A model where a client application calls a middleware layer, which in turn makes the database queries, separating presentation, business logic, and data."
What is the purpose of the Java Database Connectivity (JDBC) API?,JDBC is an API that lets Java programs connect to and interact with relational databases in a vendor-independent way.
What is the difference between a `Statement` and a `PreparedStatement` in JDBC?,A `PreparedStatement` is precompiled by the database and is more efficient and secure against SQL injection for executing the same statement multiple times with different parameters.
"In JDBC, what object is returned by a query execution and is used to iterate through the resulting rows of data?",A `java.sql.ResultSet` object.
What is connection pooling in the context of database programming?,A technique where database connections are not physically closed but are kept in a queue and reused to improve performance.
What does a `java.util.Locale` object represent in Java?,"It represents a specific geographical, political, or cultural region, capturing local preferences for formatting dates, numbers, and text."
"In the US, the date 3/22/61 is written month/day/year. How would this date typically be formatted for a German user?","It would be formatted as day.month.year, such as `22.03.1961`."
Which static method of the `java.text.NumberFormat` class would you use to get a formatter for currency values?,The `getCurrencyInstance()` method.
"The _____ class provides locale-sensitive string comparison, allowing for correct dictionary-style ordering of strings across different languages.",java.text.Collator
"In the `Collator` class, what is the difference between `PRIMARY`, `SECONDARY`, and `TERTIARY` strength levels?","`PRIMARY` distinguishes major differences (e.g., 'a' vs 'b'), `SECONDARY` also considers diacritical differences (e.g., 'a' vs 'ä'), and `TERTIARY` also distinguishes case (e.g., 'a' vs 'A')."
What is the purpose of the `java.util.ResourceBundle` class?,"It is used to manage and load locale-specific objects, such as strings, to internationalize an application."
"If you have resource property files named `Messages_en_US.properties` and `Messages_en.properties`, which one will be chosen for a user with the `en_GB` locale?","The more general `Messages_en.properties` will be chosen, as it matches the language."
"In modern Java (9+), what character encoding are property files for `ResourceBundle` expected to use?",Property files are encoded as UTF-8.
How can you programmatically invoke the Java compiler from within a Java application?,"By using the `JavaCompiler` interface, obtained via `ToolProvider.getSystemJavaCompiler()`."
What is the purpose of the `javax.script` API in Java?,It provides a standard framework for embedding scripting language interpreters into Java applications.
"To execute a script from a file using the `javax.script` API, which method of the `ScriptEngine` is used?",The `eval(Reader)` method.
"If a scripting engine implements the `Invocable` interface, what capability does this provide?",It allows the Java application to directly call functions and methods defined within the script.
What is the role of a class loader in Java's security architecture?,"A class loader is responsible for loading class files into the JVM, and it can perform custom checks for integrity and security before doing so."
What is the parent-first delegation model for Java class loaders?,"A class loader first delegates the request to load a class to its parent loader, and only attempts to load the class itself if the parent cannot find it."
"To create a custom class loader, you extend the `ClassLoader` class and override which method?",The `findClass(String className)` method.
What is the function of the bytecode verifier in the JVM?,"The verifier inspects the bytecodes of a loaded class to ensure they are valid and cannot perform damaging actions, such as overflowing the stack or violating access rules."
Why is the bytecode verifier necessary even if the code was produced by a trusted Java compiler?,It guards against maliciously altered class files that could contain valid but unsafe bytecode instructions created manually or with other tools.
"What is a message digest, such as SHA-1?","A message digest is a fixed-size digital fingerprint of a block of data, used to verify the data's integrity."
What are the two essential properties of a secure message digest?,1. Changing the data changes the digest. 2. It is computationally infeasible to create a different message with the same digest.
"In a public key signature system, which key is used to create the signature, and which key is used to verify it?","The private key is used to create the signature, and the corresponding public key is used to verify it."
What two facts can a recipient be assured of if a digital signature verification is successful?,1. The message has not been altered since it was signed. 2. The message was signed by the holder of the private key corresponding to the public key used for verification.
What is the purpose of the `keytool` program provided with the JDK?,"It is a command-line tool used to manage keystores, which are databases of cryptographic keys and certificates."
Which JDK command-line tool is used to sign and verify JAR files?,The `jarsigner` tool.
What problem in public key cryptography is solved by a certificate authority (CA)?,"A CA solves the authentication problem by vouching for the identity of a public key's owner, creating a chain of trust."
