What is the primary role of HTML in creating a website?,"HTML creates the content of a website, such as buttons, text, and images."
What is a function saved inside an object called?,A method.
What does the `JSON.stringify()` method do?,"It converts a JavaScript object into a JSON string, which is the format required for storing in `localStorage`."
What does the `JSON.parse()` method do?,It converts a JSON string back into a JavaScript object.
"When working with objects in JavaScript, variables store a _____ to the object in memory, not the object itself.",reference
What does the destructuring shortcut (`const { property } = object;`) allow you to do?,It provides an easier way to take a property out of an object and save it into a variable with the same name.
What is the DOM (Document Object Model)?,The DOM is a built-in JavaScript object called `document` that represents the entire HTML page and allows JavaScript to interact with it.
Which method of the `document` object lets you get any element from the page and put it into JavaScript?,`document.querySelector()`.
"To select an element by its class using `document.querySelector()`, what character must precede the class name in the selector string?",A dot (`.`).
What property of an HTML element object in JavaScript controls all the HTML inside that element?,The `innerHTML` property.
What property of a textbox (input) element controls the text inside it?,The `.value` property.
"When you get a value from the DOM (e.g., from an input field), what data type is it always?",A string.
How do you convert a string value from the DOM into a number so you can perform math on it?,By using the built-in `Number()` function.
"In CSS, what is the difference between `padding` and `margin`?","`Padding` is the space on the inside of an element, while `margin` is the space on the outside of an element."
What does an array represent in JavaScript?,An array represents a list of values.
What method is used to add a value to the end of an array?,The `.push()` method.
What method is used to remove a value from an array at a specific index?,"The `.splice(index, numberOfElements)` method."
What is the purpose of a loop in programming?,A loop lets us run some code over and over again.
The `for` loop is a standard loop that consists of what three parts?,"The loop variable, the loop condition, and the increment step."
What is the 'accumulator pattern' technique used with loops?,"It's a technique where a loop accumulates a result into a variable, such as calculating a total sum or building up a string."
The `forEach` method is a simpler way to loop through an ____.,array
What is the main difference between a regular function and an arrow function syntax?,An arrow function uses an arrow (`=>`) instead of the `function` keyword.
What is a key advantage of using `addEventListener` over the `onclick` attribute?,`addEventListener` separates JavaScript from HTML and allows adding multiple event listeners for the same event.
What is the difference between synchronous and asynchronous code?,"Synchronous code waits for one line to finish before going to the next, while asynchronous code does not wait and moves to the next line immediately."
"What does the built-in `setTimeout(callback, delay)` function do?",It runs a function (the callback) after waiting for a specified amount of time (the delay in milliseconds).
"What does the built-in `setInterval(callback, delay)` function do?",It repeatedly runs a function (the callback) every specified interval of time (the delay in milliseconds).
"A _____ is a JavaScript object that lets us write asynchronous code in a more manageable way, splitting it into steps using `.then()`.",Promise
"What is the modern, preferred way to make HTTP requests in JavaScript, which uses promises?",The `fetch()` function.
What does the `async` keyword do when placed before a function declaration?,It makes the function return a promise and allows the use of the `await` keyword inside it.
What does the `await` keyword do inside an async function?,It pauses the function's execution and waits for a promise to finish before continuing.
What is the core idea of object-oriented programming (OOP)?,To organize code by grouping related data (properties) and functions (methods) together into objects.
"In OOP, what is a 'class'?",A class is a blueprint or template for creating objects.
What is a 'constructor' in a class?,A special method for creating and initializing an object created with a class.
What OOP concept allows a class to get properties and methods from another class?,"Inheritance, implemented using the `extends` keyword."
What is a 'backend' in the context of web development?,"A computer, usually located in a data center, that is connected to the internet and runs code to support a website."
What protocol do computers use to send messages to each other over the internet?,HTTP (Hypertext Transfer Protocol).
"In an HTTP request-response cycle, the message sent from the browser to the backend is called the _____, and the message sent back is called the _____.",request; response
What does API (Application Programming Interface) refer to in the context of a backend?,"The list of all supported URL paths and what they do, which defines how we can interact with the backend."
What is the purpose of an automated test?,"To automatically check if a piece of code is working correctly, making it easier to test many situations and retest after code changes."
"In testing, a 'test case' refers to a specific ____ that we are testing.",situation
A _____ is a collection of related tests.,test suite
What is the purpose of a testing framework like Jasmine?,"It provides functions and a structure to make it easier to write, run, and organize automated tests."
"In Jasmine, the `describe()` function is used to create a _____, and the `it()` function is used to create a specific _____.",test suite; test
"In Jasmine, what function is used to check if a value is equal to another value?",The `expect(value).toEqual(otherValue)` function.
What is the primary benefit of using JavaScript modules (`import`/`export`)?,They provide a better way to organize code into separate files without polluting the global scope or creating naming conflicts.
"To use module features in a script loaded in HTML, what attribute must be added to the `<script>` tag?","The `type=""module""` attribute."
