What HTTP method allows a web server to send data incrementally in a streaming API?,Chunked transfer encoding.
"What is the purpose of 'divmod(user_id, USERS_PER_SHARD)' in sharded string storage?",To calculate both the 'shard_id' (quotient) and the 'position' (remainder) within that shard.
How does the streaming API 'parse_identifier' function handle query arguments?,It uses 'urlparse.parse_qs' to extract and store the client's unique identifier from the request path.
"In a threaded server, why is 'daemon_threads = True' set for the 'StreamingAPIServer'?",To ensure that all client request threads are shut down if the main server thread terminates.
What is the role of 'handler.wfile.write' in the chunked transfer encoding implementation?,"It sends the length of the data chunk in hexadecimal, followed by the data itself and line terminators."
Process: Identifying a client in the streaming API,Extract the 'identifier' from the query string and store it on the request handler object.
Why use 'Decimal' when merging sharded numeric search results in Python?,"It provides consistent handling of integers, floats, and infinity for accurate sorting."
How does 'FollowFilter' represent usernames to ensure consistent matching?,It prefixes every name with an '@' symbol and converts it to lowercase.
What is the geographic data format for the 'LocationFilter' based on the Twitter API?,"A sequence of four numbers: minimum longitude, minimum latitude, maximum longitude, maximum latitude."
"In the social network, what does 'syndicate_status' do?",It pushes a new status message to the home timelines of all users following the poster.
What is the complexity of 'ZREMRANGEBYRANK' used to trim timelines?,"$O(\log(N) + M)$, where $N$ is the number of elements and $M$ is the number of elements removed."
Why is 'force_eval=True' used inside the pipelined portion of a sharded blocking pop?,To avoid a potential 'NOSCRIPT' error which would break the pipeline's execution flow.
What is the primary reason to use SSH tunnels with Redis replication?,To provide both encryption for data in transit and compression to reduce bandwidth usage.
