Which type of session bean does not maintain any conversational state for a specific client?,A stateless session bean.
"In JPA, how do you mark a field in an entity class to be excluded from persistence?",By annotating it with `@javax.persistence.Transient` or marking it with the `transient` Java keyword.
What is the purpose of a `persistence.xml` file in a JPA application?,"It is the standard configuration file for defining persistence units, including data source, properties, and a list of managed entity classes."
"In a servlet, how do you retrieve a parameter from an HTTP request?",By calling the `getParameter(String name)` method on the `HttpServletRequest` object.
What is the difference between including and forwarding a request using a `RequestDispatcher`?,"Including adds the resource's output to the current response, while forwarding transfers control to the resource completely, which then generates the entire response."
"In batch processing, what is the purpose of a 'chunk-oriented' step?","It processes data by reading and processing a set of items (a chunk) at a time within a transaction, which includes an item reader, an optional processor, and an item writer."
What is a 'batchlet' in the context of Java EE Batch Processing?,"A task-oriented step that performs a single operation, such as executing a command or calling a web service, and is executed once within its step."
What is the role of the `JobOperator` interface in the Batch API?,"It provides an interface for managing jobs, including starting new jobs, stopping running jobs, and retrieving the status of past jobs."
"In Concurrency Utilities for Java EE, what is a `ManagedExecutorService`?",A container-managed executor service that allows applications to run tasks in parallel with access to the Java EE component's context.
What is the purpose of JTA (Java Transaction API)?,"It provides a standard interface for demarcating transactions, allowing operations to be grouped together so they either all succeed or all fail (rollback)."
What is the role of JNDI (Java Naming and Directory Interface) in a Java EE application?,"It provides a unified interface to multiple naming and directory services, allowing applications to look up and access resources like data sources or EJBs by name."
