What is the `grep` command used for?,It searches for a specific pattern of characters (string or regular expression) within files and prints the lines that contain a match.
"To perform a case-insensitive search with `grep`, you would use the _____ argument.","`-i` (e.g., `grep -i ""pattern"" filename`)"
What does the `wc` command stand for and what does it do?,"It stands for 'word count' and it counts the number of lines, words, and characters in a file."
Which command is used to display a line of text or string that is passed as an argument?,The `echo` command.
What is the purpose of the `uniq` command?,It filters out and reports repeated adjacent lines from a file.
Which command is used to print a list of all environment variables?,The `env` command.
What is the function of the `split` command?,"It is used to split a large file into smaller, more manageable pieces."
Which command is used to merge the lines of multiple files horizontally?,The `paste` command.
What does the `watch` command do?,"It executes a specified command repeatedly at a set interval, displaying its output on the screen."
What is the `look` command used for?,It searches for lines in a file that begin with a specific string.
Which command is used to compress files and directories into a single `.zip` archive?,The `zip` command.
How do you extract the contents of a `.zip` file?,Use the `unzip` command followed by the filename.
What does the `od` command do?,"It dumps the contents of a file in octal and other formats like hexadecimal, decimal, and ASCII."
Which command displays a calendar for a given month or year in the terminal?,The `cal` command.
What is the primary function of the `date` command?,It displays or sets the system date and time.
Which command is used to print a sequence of numbers?,The `seq` command.
What is the `expr` command used for?,"It evaluates expressions, allowing you to perform basic arithmetic calculations in the shell."
What is the purpose of the `man` command?,"It displays the online manual pages for other commands, providing detailed information about their usage and options."
Which command is used to close the current terminal session?,The `exit` command.
