"In Spring, what is the core container that creates and manages application components (beans)?",The Spring application context.
"In Spring Integration, what is the purpose of a transformer?",It converts a message's content or structure into a new form as it passes through a flow.
What is the core idea behind reactive programming?,It's a programming paradigm centered around asynchronous data streams and the propagation of change.
"Project Reactor, Spring's reactive library, provides two core reactive types: _____ for a stream of 0..N items, and _____ for a stream of 0..1 items.","`Flux`, `Mono`"
"In Project Reactor, what is the role of the `subscribe()` method?","It triggers the flow of data through the reactive stream; without a subscriber, nothing happens."
"Which Reactor operation transforms each item in a stream synchronously, one-for-one?",The `map()` operation.
"Which Reactor operation transforms items by applying a function that returns a new `Publisher` (like a `Mono` or `Flux`), allowing for asynchronous transformations?",The `flatMap()` operation.
What is Spring WebFlux?,"It is Spring's reactive-stack web framework, built on Project Reactor, that supports reactive and non-blocking applications."
"The default embedded server for a Spring WebFlux application is _____, whereas for Spring MVC it is Tomcat.",Netty
What testing utility is provided by Spring for writing tests against reactive WebFlux controllers?,`WebTestClient`.
What is the reactive alternative to `RestTemplate` for making non-blocking HTTP requests?,`WebClient`.
What does R2DBC (Reactive Relational Database Connectivity) provide?,"A specification for reactive, non-blocking access to relational databases."
"In Spring Data, what is the reactive equivalent of the `CrudRepository` interface?",`ReactiveCrudRepository`.
What is RSocket?,"A binary application protocol for multiplexed, reactive, and asynchronous communication between applications."
Name the four communication models offered by RSocket.,"Request-response, request-stream, fire-and-forget, and channel."
"In a Spring RSocket controller, what annotation is used to map incoming messages to a handler method based on a route?",`@MessageMapping`.
What is the purpose of Spring Boot Actuator?,"It provides production-ready features, such as health checks, metrics, and application info, through exposed endpoints."
"By default, what is the base path for all Actuator endpoints?",`/actuator`.
Which two Actuator endpoints are enabled and exposed over the web by default?,The `/health` and `/info` endpoints.
How can you expose additional Actuator endpoints over the web?,By setting the `management.endpoints.web.exposure.include` configuration property.
What is Spring Boot Admin?,A community project that provides a user-friendly web UI for managing and monitoring Spring Boot applications on top of the Actuator endpoints.
"Besides HTTP, Actuator endpoints are also exposed as _____ MBeans, which can be monitored with a client like JConsole.",JMX (Java Management Extensions)
What is the most common way to package and deploy a Spring Boot application?,"As a self-contained, executable JAR file with an embedded web server."
"To create a deployable WAR file from a Spring Boot application, the main application class must extend what class?",`SpringBootServletInitializer`.
What is the purpose of a `Dockerfile` when containerizing a Spring application?,"It contains instructions for building a Docker image, specifying the base image, files to copy, and the command to run."
"In a Kubernetes deployment manifest, what does the `replicas` property specify?",The desired number of instances (pods) of the application that should be running.
What is the purpose of Kubernetes liveness and readiness probes?,"Liveness probes determine if a container needs to be restarted, while readiness probes determine if it's ready to accept traffic."
